Name;Code;Type;Layer;Location;Potential_heights_min_max;STR_Land/Water;STR_width;STR_width_unit;STR_height_unit;STR_slope;STR_irribaren;STR_depth;STR_depth_unit;STR_length;STR_length_unit;STR_chezy;NBS_effect;NBS_factor;EM_effect;EM_factor;Constant costs;Constant cost unit;Variable costs;Variable costs unit;;New_drainage_capacity;Retention_capacity
Heighten_dunes_east;CD_1;Structural;Coast;East;"9.0;12.0";Land;9500;m;m+MSL;0.25;1.25;;;;;;;;;;3;Million/km;1.5;Million/km/m;;;
Sand_supplements_east;CD_2;Structural;Coast;East;"9.0;12.0";Land;9500;m;m+MSL;0.15;1;;;;;;;;;;2;Million/km;0.5;Million/km/m;;;
Heighten_dunes_west;CD_3;Structural;Coast;West;"8.0;12.0";Land;4800;m;m+MSL;0.25;1;;;;;;;;;;4;Million/km;1.5;Million/km/m;;;
Floodwall_west;CD_4;Structural;Coast;West;"8.0;12.0";Land;4800;m;m+MSL;0.25;1;;;;;;;;;;5;Million/km;1;Million/km/m;;;
Heighten_inland_road;SM_1;Structural;Inland;Inland road;"7.5;9.0";Land;6500;m;m+MSL;0.25;1;;;;;;;;;;3;Million/km;0.5;Million/km/m;;;
Second_phase_drainage;DR_1;Drainage;;"41;26;37;28;22;20";;;;;;;;;;;;;;;;;12;Million;;;;"35;30;20;20;20;20";
Microdrainage;DR_2;Drainage;;"1;2;3;5;8;9;12;13;14;15;22;23;24;25;27;28;35;37;40;41;43";;;;;;;;;;;;;;;;;8;Million;;;;10;
East_retention;RT_1;Retention;;"28;22";;;;;;;;;;;;;;;;;5;Million;;;;;"500000;1000000"
Chota_retention;RT_2;Retention;;41;;;;;;;;;;;;;;;;;2;Million;;;;;1000000
Improve_evacuation;EM_1;Emergency;;"12;13;14;15;16;23;26;27;28;36;38;40;41;42";;;;;;;;;;;;;;;;0.35;1.5;Million;;;;;
Early_warning_system;EM_2;Emergency;;"23;26;28;31;32;33;34;36;38;39;40;41;42;43";;;;;;;;;;;;;;;;0.5;0.4;Million;;;;;
