Border_ID;Basin 1;Basin 2;Border_length (m);Border_height_min (m);Border_height_mean_lowest25% (m);Border_height_mean (m)
0;0;1;22170;1.58186686;4.077724696;5.965788696
1;0;2;7595;4.548565388;4.637066484;5.922895565
2;0;3;725;14.68436146;14.91666293;15.56055395
3;1;3;819;14.48291969;14.79418135;15.20749903
4;1;4;11046;4.998877049;8.964888573;9.803658251
5;1;5;8176;8.703921318;11.10560894;12.09501026
6;2;3;6753;4.240683079;4.544795513;6.15906047
7;3;5;6931;5.413132191;6.00068593;6.626714881
8;3;10;4875;6.199681282;6.560444832;7.435384576
9;4;5;2135;9.632734299;9.735718728;10.28464418
10;4;6;4242;3.739486456;3.799438477;9.11897706
11;5;6;2019;3.605831862;3.811222017;4.885409569
12;5;7;3455;3.903959274;4.9201231;5.887279077
13;5;8;1491;6.181997299;6.335271717;7.178592777
14;5;9;2470;5.80927372;6.318553567;6.81717423
15;5;10;2270;6.491910934;6.675628662;7.120530566
16;6;7;1768;3.764136314;3.833016038;4.127825268
17;6;14;1736;4.256023407;4.431259871;5.582606253
18;7;8;2423;3.954985619;4.083424091;4.568146491
19;7;14;537;3.954985619;4.022737861;4.103280127
20;8;9;2443;3.915312767;4.076570988;4.531091702
21;8;10;3268;3.915312767;5.671208859;6.564628429
22;8;13;1805;6.117794037;6.385815621;6.648124695
23;8;14;6460;3.954985619;4.584852219;5.90608813
24;9;10;2589;4.109946728;4.654904366;5.684124192
25;10;11;3633;5.922894478;6.748432636;6.959607994
26;10;12;2955;6.950031757;8.305837393;8.748750868
27;10;13;3633;5.922894478;6.646676064;6.957641652
28;13;14;1338;4.395611286;4.758306742;5.438402474
