Basin_ID;Elevation;Area;UID;DEV_1_Value;DEV_2_value;DEV_3_Value;DEV_5_Value;DEV_7_Value
7;7;8605.2;1;0;89330.6;0;0;0
1;2.75;77446.7;2;17501.5;37829.3;0;0;0
8;6.5;230357.8;3;0;7351800.7;0;2846028.5;0
5;17.75;17210.4;4;0;1942.2;0;0;797453.8
6;7.25;8723;5;0;290430.3;0;0;0
4;11.75;117533.9;6;0;1354948.2;0;0;0
5;7.75;116857.2;7;0;2039340.9;0;0;0
12;1.5;5503.9;8;0;160664.3;0;0;0
5;10.75;120084.4;9;0;2749159.8;0;0;0
10;5.5;502043.2;10;0;8402292.6;14940222.6;7175265.2;0
11;5;28676.2;11;0;215501.2;0;328.9;408322.1
9;6;41123.8;12;0;808113;0;0;0
6;9.75;8605.2;13;0;167102.1;0;0;0
13;4;23532.1;14;0;514.2;0;976708;0
12;4.5;60236.3;15;0;1255472.8;0;3516371.4;0
3;9.5;81865.4;16;0;1333841.4;0;0;0
1;11.5;283636.8;17;0;6151809.1;0;0;0
4;8.5;398443.9;18;0;2347106.7;0;0;0
2;16.25;4180.9;19;0;172462.1;0;0;0
1;14.75;69816;20;0;1817168;0;0;0
14;3.75;877042.6;21;0;29103096.3;0;470168.6;0
5;16.75;32276.1;22;0;1414730.7;0;0;0
7;7.25;21881;23;0;236567.9;0;0;0
8;6.75;237826;24;0;7588014.1;0;4093634.1;0
5;7.5;142324.4;25;0;1377053;0;0;344093.5
4;0.75;5044.2;26;0;42996.8;0;0;0
4;8;275365.9;27;0;1414202.1;0;0;0
11;5.25;51631.1;28;0;0;0;0;5228718.1
10;5.75;671092.2;29;0;9828608.4;12648973.8;13816277.9;906127.2
4;11.25;184783.5;30;0;1930490.2;0;0;0
9;6.25;20452.4;31;0;404475.8;0;0;0
12;4.75;91287.3;32;0;1894604.4;0;4166916.5;0
6;7;37327.8;33;0;806304;0;0;0
6;9.25;13950.2;34;0;300620.3;0;0;0
5;10.25;197750.8;35;0;3331170.4;666271.7;0;3250.1
13;4.25;8605.2;36;0;0;0;357391.2;0
4;0;12220.4;37;0;104166.7;0;0;0
2;10;17210.4;38;0;496502.8;0;0;0
2;13.25;8605.2;39;0;141538.3;0;0;0
3;9;59803;40;0;317517.6;0;0;2320376.6
1;17.25;17210.4;41;0;564380.6;0;0;0
1;11;424811.1;42;2494;8488118;0;0;0
1;14.25;107228.5;43;0;3326519.5;0;0;0
7;8.25;14143.6;44;0;121882.4;0;0;0
1;2.5;34420.7;45;9455.2;14894.2;0;0;0
4;7.75;327999.1;46;0;1017417.7;0;0;0
8;5;154094.2;47;0;3834377.4;0;1087041.3;0
5;7.25;266086.6;48;0;2833831.5;663572.8;0;5008872.5
9;4.5;83510.9;49;0;1966531.4;0;0;0
3;11.75;10624;50;0;77421;0;0;561876.5
4;10.75;171503;51;0;1538138.5;0;0;0
6;6.75;25128.9;52;0;457468.3;0;0;0
6;8.75;1971.9;53;0;28042.4;0;0;0
7;5.5;17210.4;54;0;275202.9;0;0;0
5;9.75;117428.6;55;0;1495895;0;0;399539.4
2;9.5;14521;56;0;238971.2;0;0;0
1;10.5;444954.8;57;0;7998624.1;0;0;0
1;13.75;75981.7;58;0;2160048.4;0;0;0
10;4;197919.2;59;0;5145978.8;4714141.6;0;0
3;8.5;43221;60;0;89203.4;0;0;2553722.5
6;8.25;8605.2;61;0;202180.8;0;0;0
3;8;29244.6;62;0;226737.6;0;0;804300.4
9;4.75;78983.4;63;0;2209458.4;0;0;0
8;5.25;143648.7;64;0;4282003.2;0;672.5;0
4;7.5;290054;65;0;808606.9;0;0;0
3;11.25;5061.7;66;0;207351.4;0;0;2285.3
6;6.5;23607.4;67;0;502710.6;0;0;0
12;15;7570.2;68;0;0;0;642952.2;0
5;7;346246.3;69;0;3976633.1;0;0;4440139.5
7;5.75;37798.1;70;0;527178.9;0;0;0
5;9.25;117265.9;71;0;2022849;0;0;0
4;10.25;201378.4;72;0;1382091.1;0;0;0
2;9;9038.4;73;0;141538.3;0;0;28292.3
2;12.25;17210.4;74;0;496634.3;0;0;0
1;10;351049.3;75;0;5145365.1;0;0;0
1;13.25;103182.8;76;0;2807921.5;0;0;0
10;4.25;320306.5;77;0;7857615.7;8851121.1;1405492.7;0
1;2.25;17210.4;78;2705;0;0;0;0
10;4.5;342153.3;79;0;8086147.5;8881994.4;2805266.6;0
3;7.75;84167.9;80;0;566316.5;0;0;1941699.5
4;7.25;301181.5;81;0;965382.1;0;0;0
9;5;66220.1;82;0;1791966.2;0;0;0
6;6.25;26830;83;0;631957;0;0;0
7;6;2567;84;0;26648;0;0;0
3;10.75;8605.2;85;0;0;0;0;561876.5
8;5.5;89714.7;86;0;2426505;0;0;0
4;9.75;343304.1;87;0;2200888.7;0;0;0
5;6.75;445006.8;88;0;4206336.2;0;0;11802692.1
12;1.25;8598.3;89;0;239213.3;0;0;0
5;8.75;98100.7;90;0;1665991.6;0;0;0
2;8.5;5915.8;91;0;97303.1;0;0;0
1;9.5;394110;92;3332.8;4685661;0;0;0
1;12.75;175542.8;93;0;4309838.1;0;0;0
12;3.75;34385.4;94;0;490540;0;1458741.1;0
6;6;3854.3;95;0;6479.1;0;0;0
5;8.25;109636.1;96;0;2187948.5;0;0;779252.5
10;4.75;275839;97;0;7572446.1;5728644.4;17080.2;0
3;7.5;113145.8;98;0;778169.4;0;0;3005132.4
9;5.25;68502.5;99;0;1758312.6;0;0;0
5;6.5;499392.4;100;0;3694647.8;663572.8;0;20404203
4;7;232383.5;101;0;1176996;0;0;0
3;10.25;25815.6;102;0;0;0;0;2139851.4
8;5.75;136932.2;103;0;4518178.2;0;0;0
2;11.25;3543.5;104;0;146169.4;0;0;0
2;8;4328.1;105;0;59016.2;0;0;91.4
4;9.25;449088.6;106;0;2220902.9;0;0;0
11;4.25;8605.2;107;0;0;0;0;552669
1;12.25;221187;108;0;5272432.9;0;0;0
3;15;34012.5;109;0;1132368.7;0;0;2285.3
1;9;431170.3;110;5559;6188992.4;0;0;0
5;13;84840.1;111;0;2232699.6;0;0;798507.8
4;14;88461.4;112;0;1048767.2;0;0;0
10;7;613374.7;113;0;7456229.3;13097048.4;34386729.3;9652791.1
8;8;18623.4;114;0;89515.4;0;2179386.5;0
9;7.5;3532.3;115;0;37864.7;0;0;0
1;4.25;1231395.3;116;172118.5;2697843.6;0;0;0
11;6.5;379651.9;117;0;966317.8;0;1186241;35900435
12;6;60236.3;118;0;1080108.8;0;4976498.5;0
14;5;202135.8;119;0;5500092.7;0;890104.1;0
13;5.5;82640.3;120;0;1271739.4;2293022;357391.2;0
6;11.5;13158;121;0;311574.9;0;0;0
11;1.5;3738.9;122;0;0;0;0;240130.9
3;9.75;51920.8;123;0;752551.6;0;0;564161.9
2;10.75;8605.2;124;0;354964.5;0;0;0
1;11.75;182534;125;5559;3431664.9;0;0;0
4;8.75;345302.3;126;0;1891650.3;0;0;0
7;9.5;3239.4;127;0;33628.2;0;0;0
3;14.5;21247.9;128;0;128627.9;0;0;1123309.1
4;13.5;67193.5;129;0;1005802.3;0;0;0
5;12.5;33615.2;130;0;824764.6;0;0;398968.3
1;17;13959.4;131;0;402525.4;0;0;0
10;7.25;781905.9;132;0;3997068.1;32626130.8;51395538.4;21186103.4
9;7.75;28879.2;133;0;376839.2;0;0;0
8;8.5;19232.4;134;0;703403.7;0;737433.9;0
2;3.75;3889.4;135;0;745.4;0;0;0
4;3.25;12056.1;136;0;82288.4;0;0;0
11;6.75;325829.2;137;0;703400.4;0;1258206.5;26952255.8
12;6.25;62896.5;138;0;656598;0;5095349.4;0
1;4;1568293.5;139;383515.8;1214857.3;0;0;0
13;5.75;129001.5;140;0;1779220.2;2218178.6;358624.7;0
4;8.25;246488.5;141;0;1384461.9;0;0;0
5;20.25;8605.2;142;0;0;663572.8;0;0
14;5.25;174322.9;143;0;3601063;0;3061990.5;0
6;11;25815.6;144;0;537267.3;0;0;0
5;12;123439.9;145;0;4242631.9;0;0;0
1;1.5;8605.2;146;748.7;0;0;0;0
3;9.25;74633.5;147;0;861283.2;0;0;691086.7
1;11.25;336971.6;148;0;6294859.7;0;0;0
5;15.25;17210.4;149;0;759701.5;0;0;0
8;9;14266.3;150;0;298509.9;0;0;0
3;14;25218.2;151;0;800979.9;0;0;0
4;13;60236.3;152;0;709792.2;0;0;0
6;14.25;17210.4;153;0;404323.9;0;0;0
1;16;45622.7;154;0;1383044.7;0;0;0
10;7.5;566998.2;155;0;4789294.1;5721108.8;42685699.4;10672788.4
11;7;275022.4;156;0;170653.7;0;1193536.3;21782637.7
10;8.25;246712.9;157;0;1795582.3;8396374.9;27618335.7;3426673.4
13;6;144467.2;158;0;2005119.5;0;912654.4;0
12;6.5;94657;159;0;1209284.3;0;8699157.4;0
14;5.5;135313.5;160;0;3178111.5;0;894932.8;0
6;10.5;16292.7;161;0;290620.8;0;0;0
5;11.5;82067.5;162;0;1655113.5;0;0;1178220.8
5;14.75;33219.8;163;0;971898.5;0;0;0
8;9.5;6618.2;164;0;176034.8;0;4441.2;0
3;13.5;37376.4;165;0;611025.2;0;0;1123531.1
1;15.5;42630.2;166;0;1198355.7;0;0;0
4;12.5;114347.1;167;0;1405535;0;0;0
6;13.75;24024.3;168;0;537754.9;0;0;0
6;16.25;4551.7;169;0;70795;0;0;0
11;7.25;337180.5;170;0;327241.5;0;6312777;25834297.9
10;7.75;417070.1;171;0;2675937.5;8589575.7;34550255.2;12981385.6
12;6.75;34638.2;172;0;239405.3;0;3168698;0
1;3.75;1052650.8;173;256193.8;676849.7;0;0;0
10;8.75;161495.2;174;0;576753.3;1817040.9;15842196.6;9482785.2
14;5.75;155506.9;175;0;4361593.1;0;1815430.4;0
5;18.25;17210.4;176;0;236703.2;0;0;0
13;6.25;184866.3;177;0;1950210.3;3614526.6;2901793.3;0
5;11;141240.7;178;0;3223212.6;0;0;400862.7
4;12;153428;179;0;1939372;0;0;0
6;10;5425.6;180;0;105636.4;0;0;0
3;16.5;6920.7;181;0;285478.9;0;0;0
10;9.25;64688.2;182;0;0;2853122.9;11750371.1;1044732.7
4;15.25;14160.9;183;0;253472.5;0;0;0
6;13.25;18750;184;0;399681.2;0;0;0
