Basin_ID;Contour_ID;Height_min;Height_max;Height_mean;Houses;Population_echt;Population;area (m2);DEV_1_Value;DEV_2_Value;DEV_3_Value;DEV_5_Value;DEV_7_Value;;;;;;;;;;;
0;0;0;0;0;0;0;0;9999999;0;0;0;0;0;;;;;;;;;;;
1;12;3.5;3.75;3.64;0.4;11.1;20.88;288552.6;73818.3;24139;0;0;0;;;;;;;;;;;
1;13;3.75;4;3.87;3;12.9;24.27;113276.9;956.7;46343.7;0;0;0;;;;;;;;;;;
1;14;4;4.25;4.05;0.7;2.8;5.27;31556.5;1554.3;11754.5;0;0;0;;;;;;;;;;;
1;15;4.25;4.5;4.27;0.2;0.9;1.69;13086;1145.4;4172.5;0;0;0;;;;;;;;;sum;283787.6;
1;16;4.5;4.75;4.5;0.2;0.7;1.32;14359.3;1704.9;3785.2;0;0;0;;;;;;;;;census;533825;1.881072323
1;17;4.75;5;4.76;0.1;0.6;1.13;17658;1061.4;5554.1;0;0;0;;;;;;;;;;;
1;18;5;5.25;4.99;0.2;0.7;1.32;18209.9;1227.1;5120.5;0;0;0;;;;;;;;;;;
1;19;5.25;5.5;5.13;0.2;0.7;1.32;10868.7;1825.3;2447;0;0;0;;;;;;;;;;;
1;20;5.5;5.75;5.4;0.2;0.7;1.32;10899.3;1689.8;2875.8;0;0;0;;;;;;;;;chota pop;97.8;
1;21;5.75;6;5.79;0.2;0.7;1.32;20085.8;3895.2;2215.2;0;0;0;;;;;;;;;factor;10;
1;22;6;6.25;6.07;0.3;1.2;2.26;62221.5;23169.6;2064.2;0;0;0;;;;;;;;;;;
1;23;6.25;6.5;6.34;0.4;1.5;2.82;68875.4;23603;3534.7;0;0;0;;;;;;;;;;;
1;24;6.5;6.75;6.63;0.7;2.7;5.08;118671;30785.1;5237.6;0;0;0;;;;;;;;;;;
1;25;6.75;7;6.9;5;18.5;34.8;752327.4;92358.9;149999.7;0;0;0;;;;;;;;;;;
1;26;7;7.25;7.12;8.4;31.2;58.69;1317005.1;272782.2;237755.3;0;0;0;;;;;;;;;;;
1;27;7.25;7.5;7.36;8;31.3;58.88;867300.5;90789.6;398842.5;0;0;0;;;;;;;;;tot_value;234,661,213.50;
1;28;7.5;7.75;7.62;7.4;31.1;58.5;350216;49810.1;70335.9;0;0;0;;;;;;;;;;;
1;29;7.75;8;7.87;7.9;33.5;63.02;289677.6;31332.1;51960.9;0;0;0;;;;;;;;;;;
1;30;8;8.25;8.11;8.4;36.5;68.66;180506.7;19821.4;35845.5;0;0;0;;;;;;;;;;;
1;31;8.25;8.5;8.38;10;43.5;81.83;153700.8;14833.1;39950.3;0;0;0;;;;;;;;;;;
1;32;8.5;8.75;8.63;10.9;47.3;88.97;167163;17991.1;35332.7;0;0;0;;;;;;;;;;;
1;33;8.75;9;8.86;11;47.7;89.73;168667.2;14835.3;40328.6;0;0;0;;;;;;;;;;;
1;34;9;9.25;9.13;9.8;42.6;80.13;150455.6;10859.7;273082.7;0;0;0;;;;;;;;;;;
1;35;9.25;9.5;9.36;9;39.4;74.11;139169.9;8245.9;495047.7;0;0;0;;;;;;;;;;;
1;36;9.5;9.75;9.63;7.1;30.7;57.75;108641.1;2164.1;139094;0;0;0;;;;;;;;;;;
1;37;9.75;10;9.88;7.6;33.3;62.64;117631;1924.5;108253.9;0;0;0;;;;;;;;;;;
1;38;10;10.25;10.13;8.7;38;71.48;134426;0;58466.9;0;0;0;;;;;;;;;;;
1;39;10.25;10.5;10.37;8.6;37.4;70.35;132116.6;0;50203.2;0;0;0;;;;;;;;;;;
1;40;10.5;10.75;10.62;7.3;31.6;59.44;111686.5;0;66067.9;0;0;0;;;;;;;;;;;
1;41;10.75;11;10.87;6.6;28.6;53.8;100906.5;0;34909.5;0;0;0;;;;;;;;;;;
1;42;11;11.25;11.12;6;26.3;49.47;92910.9;0;58503.9;0;0;0;;;;;;;;;;;
1;43;11.25;11.5;11.37;5.2;22.4;42.14;79312.2;0;240745.1;0;0;0;;;;;;;;;;;
1;44;11.5;11.75;11.62;5;21.6;40.63;76473.4;0;592620.2;0;0;0;;;;;;;;;;;
1;45;11.75;12;11.75;0.2;0.7;1.32;2507.4;0;19351.6;0;0;0;;;;;;;;;;;
2;23;6.25;6.5;6.23;0.3;58.7;110.42;831187.7;0;12185;0;0;0;;;;;;;;;;;
2;24;6.5;6.75;6.57;1.2;6.2;11.66;4974.6;0;1120.9;0;0;0;;;;;;;;;;;
2;25;6.75;7;6.84;2.4;12.3;23.14;10409.9;0;2500.9;0;0;0;;;;;;;;;;;
2;26;7;7.25;7.1;2;10;18.81;12207.9;0;2892.8;0;0;0;;;;;;;;;;;
2;27;7.25;7.5;7.36;1;4.3;8.09;20267.9;0;4350.2;0;0;0;;;;;;;;;;;
2;28;7.5;7.75;7.64;1.8;7.8;14.67;30095.3;0;4797.8;0;0;0;;;;;;;;;;;
2;29;7.75;8;7.88;2.7;11.8;22.2;43294.6;0;6121.7;0;0;0;;;;;;;;;;;
2;30;8;8.25;8.12;2.9;12.8;24.08;45246.2;0;6297.2;0;0;0;;;;;;;;;;;
2;31;8.25;8.5;8.37;2.7;11.5;21.63;40785;0;6080.1;0;0;0;;;;;;;;;;;
2;32;8.5;8.75;8.62;2.4;10.5;19.75;37172.7;0;5882.6;0;0;0;;;;;;;;;;;
2;33;8.75;9;8.87;2.3;10.1;19;35560.3;0;6176.9;0;0;0;;;;;;;;;;;
2;34;9;9.25;9.12;2.2;9.7;18.25;34340.8;0;6411;0;0;0;;;;;;;;;;;
2;35;9.25;9.5;9.38;2.2;9.7;18.25;34266.7;0;6979.2;0;0;0;;;;;;;;;;;
2;36;9.5;9.75;9.63;2.3;10;18.81;35215.8;0;9094.7;0;0;0;;;;;;;;;;;
2;37;9.75;10;9.88;2.4;10.4;19.56;36804.5;0;16520.1;0;0;0;;;;;;;;;;;
2;38;10;10.25;10.13;2.6;11.4;21.44;40282.5;0;20527.6;0;0;0;;;;;;;;;;;
2;39;10.25;10.5;10.38;3.1;13.4;25.21;47228.3;0;24297.5;0;0;0;;;;;;;;;;;
2;40;10.5;10.75;10.64;4.7;20.5;38.56;72359.6;0;38011.6;0;0;0;;;;;;;;;;;
2;41;10.75;11;10.85;4.9;21.3;40.07;75384.1;0;38177.7;0;0;0;;;;;;;;;;;
2;42;11;11.25;11.11;2.4;10.5;19.75;37062;0;15596.4;0;0;0;;;;;;;;;;;
2;43;11.25;11.5;11.36;1.2;5.1;9.59;18191.4;0;8395.3;0;0;0;;;;;;;;;;;
2;44;11.5;11.75;11.58;0.3;1.3;2.45;4630.9;0;2239.2;0;0;0;;;;;;;;;;;
3;23;6.25;6.5;6.43;27.9;141.5;266.17;109206.2;0;9757.4;0;0;0;;;;;;;;;;;
3;24;6.5;6.75;6.65;81.2;410.1;771.43;580211.3;0;53646.2;0;0;0;;;;;;;;;;;
3;25;6.75;7;6.86;57.3;287.4;540.62;637493.5;0;74860.9;0;0;0;;;;;;;;;;;
3;26;7;7.25;7.1;20.4;102.4;192.62;219049.8;0;44832.5;0;0;0;;;;;;;;;;;
3;27;7.25;7.5;7.36;18;91.4;171.93;81563.3;0;10329.7;0;0;0;;;;;;;;;;;
3;28;7.5;7.75;7.55;11.6;58.9;110.8;34879.7;0;2508.5;0;0;0;;;;;;;;;;;
4;14;4;4.25;4.08;7.4;37.7;70.92;21810;0;2761.7;0;0;0;;;;;;;;;;;
4;15;4.25;4.5;4.38;1.4;7.2;13.54;4142.5;0;343.9;0;0;0;;;;;;;;;;;
4;16;4.5;4.75;4.63;1.4;7.3;13.73;4198.7;0;270.1;0;0;0;;;;;;;;;;;
4;17;4.75;5;4.89;1.6;8.4;15.8;4850.4;0;359;0;0;0;;;;;;;;;;;
4;18;5;5.25;5.08;3.9;19.6;36.87;11366;0;631.5;0;0;0;;;;;;;;;;;
4;19;5.25;5.5;5.38;0.7;3.5;6.58;2002.8;0;210.3;0;0;0;;;;;;;;;;;
4;20;5.5;5.75;5.61;0.5;2.6;4.89;1490.3;0;105.6;0;0;0;;;;;;;;;;;
4;21;5.75;6;5.86;0.7;3.8;7.15;2200.9;0;253.6;0;0;0;;;;;;;;;;;
4;22;6;6.25;6.09;0.5;2.8;5.27;1596.4;0;157.4;0;0;0;;;;;;;;;;;
4;23;6.25;6.5;6.43;5.3;26.7;50.22;15464.3;0;3732.8;0;0;0;;;;;;;;;;;
4;24;6.5;6.75;6.68;42.1;213.7;401.99;123725.6;0;18554.5;0;0;0;;;;;;;;;;;
4;25;6.75;7;6.84;35.1;178.1;335.02;103154.7;0;13045.5;0;0;0;;;;;;;;;;;
4;26;7;7.25;7.12;12.3;62.4;117.38;36135.6;0;5512.1;0;0;0;;;;;;;;;;;
4;27;7.25;7.5;7.36;9.5;48;90.29;28544.4;0;4406.8;0;0;0;;;;;;;;;;;
4;28;7.5;7.75;7.61;2.6;13.2;24.83;11840;0;2928.8;0;0;0;;;;;;;;;;;
4;29;7.75;8;7.87;1;4.5;8.46;9494.5;0;2630.4;0;0;0;;;;;;;;;;;
4;30;8;8.25;8.12;0.6;2.5;4.7;8731.5;0;2462.6;0;0;0;;;;;;;;;;;
4;31;8.25;8.5;8.37;0.5;2.4;4.51;8445.2;0;2401.8;0;0;0;;;;;;;;;;;
4;32;8.5;8.75;8.62;0.5;2.3;4.33;8253.9;0;2396;0;0;0;;;;;;;;;;;
4;33;8.75;9;8.88;0.5;2.3;4.33;8164.5;0;2397.3;0;0;0;;;;;;;;;;;
4;34;9;9.25;9.13;0.5;2.4;4.51;8314.4;0;2485.4;0;0;0;;;;;;;;;;;
4;35;9.25;9.5;9.38;0.6;2.4;4.51;8482.9;0;2577.5;0;0;0;;;;;;;;;;;
4;36;9.5;9.75;9.63;0.6;2.5;4.7;8712.6;0;2695.1;0;0;0;;;;;;;;;;;
4;37;9.75;10;9.88;0.6;2.6;4.89;9234.8;0;2911.7;0;0;0;;;;;;;;;;;
4;38;10;10.25;10.13;0.6;2.8;5.27;9730.4;0;3108.3;0;0;0;;;;;;;;;;;
4;39;10.25;10.5;10.38;0.7;3;5.64;10450.8;0;3363.1;0;0;0;;;;;;;;;;;
4;40;10.5;10.75;10.63;0.7;3.2;6.02;11259.8;0;3646.9;0;0;0;;;;;;;;;;;
4;41;10.75;11;10.88;0.8;3.6;6.77;12708.4;0;4191.6;0;0;0;;;;;;;;;;;
4;42;11;11.25;11.13;0.9;4.1;7.71;14450.5;0;4826.4;0;0;0;;;;;;;;;;;
4;43;11.25;11.5;11.38;1.1;4.8;9.03;16930.1;0;5718.4;0;0;0;;;;;;;;;;;
4;44;11.5;11.75;11.63;1.6;6.8;12.79;24036.4;0;8511.6;0;0;0;;;;;;;;;;;
4;45;11.75;12;11.86;1.1;4.9;9.22;17389.2;0;4778.6;0;0;0;;;;;;;;;;;
4;46;12;12.25;12.12;0.7;3.2;6.02;11445.6;0;3100.7;0;0;0;;;;;;;;;;;
4;47;12.25;12.5;12.37;0.4;1.8;3.39;6229.3;0;884.1;0;0;0;;;;;;;;;;;
4;48;12.5;12.75;12.6;0.2;0.9;1.69;3257.5;0;242.8;0;0;0;;;;;;;;;;;
5;18;5;5.25;5.08;22;111.5;209.74;64581.7;0;23104.4;0;0;0;;;;;;;;;;;
5;19;5.25;5.5;5.39;1.5;7.6;14.3;4410.6;0;1496.6;0;0;0;;;;;;;;;;;
5;20;5.5;5.75;5.59;1;5.3;9.97;3075.2;0;1007.2;0;0;0;;;;;;;;;;;
5;21;5.75;6;5.82;1.3;6.4;12.04;3682.9;0;1439.8;0;0;0;;;;;;;;;;;
5;22;6;6.25;6.07;1.1;5.7;10.72;3315.1;0;1098.6;0;0;0;;;;;;;;;;;
5;23;6.25;6.5;6.32;1.3;6.8;12.79;3938.7;0;1403.7;0;0;0;;;;;;;;;;;
5;24;6.5;6.75;6.66;3.7;18.7;35.18;10804.8;0;2030.6;0;0;0;;;;;;;;;;;
5;25;6.75;7;6.91;23.8;120.9;227.42;69996.3;0;9043.8;0;0;0;;;;;;;;;;;
5;26;7;7.25;7.13;112.8;572.8;1077.48;331681.5;0;125034.5;0;0;0;;;;;;;;;;;
5;27;7.25;7.5;7.36;137.7;699.4;1315.62;404994.9;0;114248.2;0;0;0;;;;;;;;;;;
5;28;7.5;7.75;7.6;69.8;354.5;666.84;205244.6;0;50436.2;0;0;0;;;;;;;;;;;
5;29;7.75;8;7.87;39;198;372.45;114623.9;0;32726.6;0;0;0;;;;;;;;;;;
5;30;8;8.25;8.12;31.5;160;300.97;92651.7;0;25469.6;0;0;0;;;;;;;;;;;
5;31;8.25;8.5;8.37;29.3;148.6;279.53;86065;0;24586.1;0;0;0;;;;;;;;;;;
5;32;8.5;8.75;8.63;29.3;149;280.28;86256.8;0;28949.8;0;0;0;;;;;;;;;;;
5;33;8.75;9;8.87;27.9;142;267.11;82535.9;0;27023.7;0;0;0;;;;;;;;;;;
5;34;9;9.25;9.12;24.1;122.8;231;77828.7;0;25050;0;0;0;;;;;;;;;;;
5;35;9.25;9.5;9.37;19.8;100.6;189.24;63950.5;0;21978.5;0;0;0;;;;;;;;;;;
5;36;9.5;9.75;9.62;16.1;81.9;154.06;53984.2;0;19595.3;0;0;0;;;;;;;;;;;
5;37;9.75;10;9.88;12.8;65.1;122.46;46870.9;0;17824.3;0;0;0;;;;;;;;;;;
5;38;10;10.25;10.1;10.6;54.2;101.95;42815.4;0;11647.6;0;0;0;;;;;;;;;;;
5;39;10.25;10.5;10.39;10.3;53.1;99.88;47203.4;0;15033.3;0;0;0;;;;;;;;;;;
5;40;10.5;10.75;10.62;10.8;55.7;104.78;55071.9;0;17769.6;0;0;0;;;;;;;;;;;
5;41;10.75;11;10.84;3.9;20.2;38;21222.6;0;4624.6;0;0;0;;;;;;;;;;;
5;42;11;11.25;11.13;2.3;12.1;22.76;12706;0;2347.8;0;0;0;;;;;;;;;;;
5;43;11.25;11.5;11.33;1.2;5.9;11.1;6252.6;0;1189.2;0;0;0;;;;;;;;;;;
5;44;11.5;11.75;11.61;0.3;1.8;3.39;1887.6;0;517.8;0;0;0;;;;;;;;;;;
5;45;11.75;12;11.87;0.3;1.6;3.01;1664.3;0;501.1;0;0;0;;;;;;;;;;;
5;46;12;12.25;12.12;0.4;1.9;3.57;1992.2;0;648;0;0;0;;;;;;;;;;;
5;47;12.25;12.5;12.37;0.6;3.1;5.83;3197.5;0;1218.8;0;0;0;;;;;;;;;;;
5;48;12.5;12.75;12.6;0.3;1.4;2.63;1466.6;0;336.4;0;0;0;;;;;;;;;;;
5;49;12.75;13;12.86;0.2;0.8;1.5;880.4;0;137.4;0;0;0;;;;;;;;;;;
5;50;13;13.25;13.11;0.1;0.7;1.32;727.1;0;116.2;0;0;0;;;;;;;;;;;
6;24;6.5;6.75;6.71;40.4;205.1;385.81;118746.4;0;16438;0;0;0;;;;;;;;;;;
6;25;6.75;7;6.84;56.4;286.4;538.74;165856.7;0;29763.8;0;0;0;;;;;;;;;;;
6;26;7;7.25;7.13;28.7;145.8;274.26;84416.3;0;16974.3;0;0;0;;;;;;;;;;;
6;27;7.25;7.5;7.38;39.7;201.7;379.41;116814.3;0;60350.3;0;0;0;;;;;;;;;;;
6;28;7.5;7.75;7.62;33.7;170.7;321.1;105874.7;0;111140.8;0;0;0;;;;;;;;;;;
6;29;7.75;8;7.87;23.2;116.6;219.33;86619.2;0;177236.5;0;0;0;;;;;;;;;;;
6;30;8;8.25;8.13;18.2;90.7;170.61;81078.8;0;206937.5;0;0;0;;;;;;;;;;;
6;31;8.25;8.5;8.38;21.8;109.2;205.41;92603.2;0;277506.6;0;0;0;;;;;;;;;;;
6;32;8.5;8.75;8.62;18.8;93.9;176.63;84191.7;0;212984.4;0;0;0;;;;;;;;;;;
6;33;8.75;9;8.87;5.8;27.9;52.48;46609.6;0;50342.8;0;0;0;;;;;;;;;;;
6;34;9;9.25;9.12;4.7;22.2;41.76;43870.3;0;48949.6;0;0;0;;;;;;;;;;;
6;35;9.25;9.5;9.37;4.2;19.4;36.49;43371.5;0;51135.6;0;0;0;;;;;;;;;;;
6;36;9.5;9.75;9.63;3.7;16.7;31.41;43217.9;0;54457.1;0;0;0;;;;;;;;;;;
6;37;9.75;10;9.88;3.2;14.4;27.09;43806.7;0;59181.1;0;0;0;;;;;;;;;;;
