Border_ID;Basin 1;Basin 2;Border_length (m);Border_height_min (m);Border_height_mean (m);Border_height_mean_lowest25% (m);;;;
0;0;3;2477.77;6.782361981;7.078773834;6.809946905;;;;
1;0;5;2227.37;7.551775193;9.116339862;7.639350827;;;;
3;0;15;1707.67;7.498830019;12.3613568;8.427618427;;;;
4;0;14;5579.94;6.772690065;6.975319749;6.790789511;;;;
29;0;12;3314.94;2.279557846;7.9679093;6.057321889;;;;
11;0;1;7319.38;1.58000608;6.8621658;5.945470512;;;;
14;0;8;1947.66;11.73681541;14.01887595;12.39684319;;;;
115;0;13;810.05;7.195026669;7.711733426;7.256937691;;;;
10;1;3;1420.12;6.90147013;7.057509562;6.911823675;;;Border ID has a value between 0 and 125. Basin 1 and 2 give information between which basins the border is. ;
12;1;10;907.97;1.588765514;7.177245946;6.704;4.637036653;;Minimum not reliable measure;
23;1;11;917.9;8.809149744;9.02722307;8.82289727;;;Few very short boundaries; so either filter out or use weighting for flow
42;1;20;2857.59;9.262877446;10.83299274;9.568676549;;;Basin value 0; is surrounding area
114;1;2;1768.04;4.084360266;8.825811853;8.25887;6.661515185;;;
6;2;3;1077.81;6.42073557;7.155115422;6.642366248;;;;
7;2;4;1250.1;4.07999032;8.91273875;6.67889;6.043792928;;;
41;2;20;1457.84;10.75706456;11.09591083;10.79039378;;;;
2;3;5;258.02;7.545353757;7.571756578;7.555367205;;;;
112;3;4;1877.85;4.077800251;6.644487076;6.43495;;;;
8;4;5;920.07;5.073331161;6.931110745;6.444557102;;;;
34;4;6;1810.15;5.083616282;8.199804648;6.7451;6.366664618;;;
40;4;20;617.98;11.70720377;12.19092589;11.79293561;;;;
15;5;8;2718.11;7.350354593;9.924026559;7.534978915;;;;
113;5;7;1947.8;5.073380579;6.903461915;6.702057;;;;
35;6;9;2790.29;8.421936067;11.96034021;8.686607447;;;;
36;6;7;2050.06;5.082354027;7.39508296;6.71205;;;;
39;6;20;2338.16;11.65159805;12.42533647;11.77473376;;;;
58;6;23;1107.85;12.16071652;13.49323136;12.41991611;;;;
65;6;22;1237.92;11.77342033;12.00476545;11.79111836;;;;
16;7;8;519.97;7.085869226;7.210518557;7.186016;;;;
33;7;9;920.03;7.087407718;7.779101827;7.135986451;;;;
17;8;15;950.08;13.79742593;14.54757365;13.98697892;;;;
24;8;24;2030.03;9.691626554;10.66040578;9.942768432;;;;
26;8;18;760.02;13.60269037;14.19008625;13.80076011;;;;
32;8;9;2228;7.08961938;7.810580801;7.222345335;;;;
47;8;35;1969.98;10.76350597;13.18894419;11.77187659;;;;
56;8;23;627.95;9.79780132;10.75908685;10.04505601;;;;
57;9;23;2877.93;8.879549374;12.8015622;9.32192521;;;;
116;10;11;2677.84;0.206174193;6.547939316;5.161319;;;;
43;11;20;1300.04;8.191549076;8.567490772;8.219765601;;;;
30;12;13;3260.07;6.0959463;6.637094665;6.233219022;;;;
31;12;18;730.04;6.089700102;6.713131325;6.309273515;;;;
118;12;17;2908.05;6.471817034;7.763350503;7.041073762;;;;
20;13;14;3267.99;5.939795038;6.576171621;6.254787097;;;;
21;13;16;1140.02;5.945425831;6.434527337;6.283153669;;;;
27;13;18;857.96;6.107819153;6.33060037;6.223373373;;;;
5;14;15;3458.07;6.235207044;6.729625438;6.296477701;;;;
19;14;16;180;5.925971024;6.198606165;5.980664489;;;;
18;15;16;4237.9;6.175773679;7.643948435;6.306382733;;;;
25;15;18;157.98;13.25354991;13.56196178;13.33904164;;;;
28;16;18;4740.21;6.523375868;8.376504599;6.667288045;;;;
45;17;18;2447.9;6.166582083;6.621099895;6.248869476;;;;
51;17;35;1950.1;7.466665273;7.7516048;7.60906374;;;;
59;17;19;1849.9;7.460770391;8.19269862;7.768418079;;;;
71;17;31;759.98;7.754787914;8.327093333;7.895283866;;;;
52;18;35;7140.07;7.312567535;8.462656296;7.68741792;;;;
70;19;31;3916.72;7.040707553;8.025028171;7.411430481;;;;
66;20;22;4549.95;4.976797609;9.513811003;5.650612211;;;;
117;20;21;3498.07;4.976797609;6.600534016;5.126714857;;;;
67;21;22;660.05;4.965620064;5.488235818;5.000393686;;;;
76;22;26;830.13;5.488244337;6.058181739;5.637433061;;;;
87;22;27;2557.79;5.659671711;6.433637735;5.988825004;;;;
120;22;23;3280.08;5.499408739;8.008936007;5.743019804;;;;
53;23;36;1838.02;6.582481501;6.638311904;6.607348117;;;;
54;23;25;1050.08;5.980970297;6.445773195;6.265104591;;;;
55;23;24;1970.04;5.986159052;8.043813699;6.421797001;;;;
75;23;26;2329.62;6.669539163;7.978026161;7.207025912;;;;
101;23;40;1228.02;6.380188115;6.519805611;6.422339627;;;;
37;24;25;2259.89;6.148305794;6.632595636;6.304583862;;;;
46;25;36;3119.94;6.529501531;6.868406128;6.597354578;;;;
78;26;41;2150.16;5.738617618;6.468451456;6.082139347;;;;
104;26;28;1897.91;4.864842836;6.039120691;5.802602857;;;;
122;26;27;1690.25;5.511833535;6.273098184;5.937677621;;;;
105;27;28;1570.2;5.467167694;6.97667177;5.815817198;;;;
102;28;37;2837.89;-0.270825131;6.937811086;6.301330832;;;;
