Basin_ID;Drainage channel;channel size;other drainage ;Drains to basin;Retention;;retention top;voorstel;;;Lowest point;;elev_drain_to;;To_basin_diff;Outlet_elevation;;;
0;no;;low;0;99999999;;;;;;;;;;0;;;;
1;yes;large;;10;475487;;3.5;;;;1.5;;0.75;;0.75;;;;
2;yes;mid;;1;167504;;6.25;;;;4;;1.5;;2.5;;;;
3;yes;mid;;1;27879;;6.25;;;;5.5;;1.5;;4;;;;
4;yes;mid;;2;0;;;;;;4;;4;;0;;;;
5;yes;small;;4;0;;;;;;5;;4;;1;;;;
6;yes;small;;20;180112;;6.5;;;;6.5;;4.75;;1.75;;;;
7;yes;small;;4;10678;;6.5;;;;5;;4;;1;;;;
8;no;;mid;15;0;;;;;;7;;6;;1;;;;
9;no;;mid;6;0;;;;;;7;;6.5;;0.5;;;;
10;yes;large;;sea;915652;;4.75;;;;0.75;;sea;;sea;3;;;
11;yes;large;;sea;29066;;4.75;;;;0.75;;sea;;sea;;;;
12;yes;large;;sea;115427;;5;;;;2.25;;sea;;sea;3;;;
13;no;;low;12;0;;;6;;;5.75;;2.25;;3.5;;;;
14;no;;low;13;0;;;;;;5.75;;5.75;;0;;;;
15;no;;low;6;23820;;6;;;;6;;5.75;;0.25;;;;
16;yes;small;;16;0;;5.75;;;;5.75;;5.75;;0;;;;
17;yes;small;;19;1090;;5.75;;;;5.5;;2.25;;3.25;;;;
18;yes;small;;35;27494;;6;;;;5.75;;3;;0.25;;;veranderd; stroomt naar 35 (van 17)
19;yes;mid;;sea;57455;;6.5;;;;2.25;;sea;;sea;2.25;;;
20;no;;low;11;22145;;5;;;;4.75;;0.75;;4;;;;
21;yes;mid;;sea;57092;;5;;;;4.75;;sea;;sea;1.5;;;
22;no;;low;20;0;;;;;;4.75;;4.75;;0;;;;
23;no;;low;24;73163;;5.5;;;;5.25;;4.75;;0.5;;;;
24;no;;low;25;0;;;;;;6;;5.75;;0.25;;;;
25;no;;low;36;7007;;6;;;;5.75;;3;;2.75;;;;
26;yes;small;;23;13707;;5;;;;4.75;;4;;0.75;;;;
27;no;;mid;22;0;;;;;;4.5;;4.75;;-0.25;;;;
28;yes;large;;sea;892324;;4.25;;;;3;;sea;;sea;3;;;
29;yes;mid;;43;289181;;5.75;;;;3;;3;;0;;;;
30;yes;small;;29;0;;;6.25;;;6.25;;3;;3.25;;;;
31;yes;large;;sea;17472;;6.5;;;;6.25;;sea;;sea;3.75;;;
32;yes;mid;;29;5486;;6;;;;5.75;;3;;2.75;;;;
33;yes;large;;sea;25506;;5.25;;;;3.75;;sea;;sea;3.75;;;
34;yes;small;;36;111620;;5.75;;;;3;;3;;0;;;;
35;yes;small;;31;46514;;5.75;;;;3;;3;;0;;;veranderd; stroomt naar 31 (van 36)
36;yes;small;;34;13020;;5.75;;;;3;;3;;0;;;;
37;yes;small;;28;2899;;4;;;;3.75;;3;;0.75;;;;
38;yes;small;;34;3023;;5;;;;4.75;;3;;1.75;;;;
39;yes;small;;37;40316;;5.25;;;;3.75;;3.75;;0;;;;
40;no;;low;38;17805;;5.75;;;;5.25;;4.75;;0.5;;;;
41;no;;low;39;1004001;;4.25;;;;4;;4.25;;-0.25;;;;
42;yes;large;;sea;10133;;5.25;;;;4.5;;sea;;sea;4.5;;;
43;yes;large;;sea;26920;;5.25;;;;3;;sea;;sea;3;;;
